name|is_vegetarian|type|short_description|ingredients|recipe_steps|recipe_link
ratatouille|True|main|A veggie rainbow in a pot!|zucchini, eggplant, tomato, pepper, onion, garlic, olive oil, herbs|Chop all vegetables, Sauté onions and garlic in olive oil, Add remaining vegetables and herbs, Simmer until tender, Serve warm or chilled|https://www.loveandlemons.com/ratatouille-recipe/
coq au vin|False|main|Chicken takes a wine bath.|chicken, red wine, mushrooms, onion, garlic, bacon, thyme|Marinate chicken in red wine overnight, Sear chicken with bacon, Add vegetables and cook until soft, Pour in wine marinade and simmer until chicken is tender|https://www.simplyrecipes.com/recipes/coq_au_vin/
quiche lorraine|False|main|Bacon and egg pie? Oui, s’il vous plaît!|eggs, cream, bacon, cheese, pie crust|Pre-bake pie crust, Fry bacon until crisp, Whisk eggs and cream, Layer bacon and cheese in crust, Pour egg mixture over and bake until golden|https://www.onceuponachef.com/recipes/quiche-lorraine.html
tarte tatin|True|dessert|An upside-down apple delight.|apples, sugar, butter, pastry|Caramelize sugar and butter in pan, Add sliced apples and cook until soft, Top with pastry and bake, Flip onto plate to serve|https://sallysbakingaddiction.com/pear-tarte-tatin/
pain au chocolat|True|dessert|Chocolate wrapped in flaky heaven.|flour, butter, yeast, sugar, salt, milk, dark chocolate|Prepare croissant dough and chill, Roll and fold with butter several times, Cut into rectangles, Add chocolate and roll, Let rise and bake until golden|https://www.kingarthurbaking.com/recipes/pain-au-chocolat-recipe
boeuf bourguignon|False|main|Red wine stew to impress any guest.|beef, red wine, carrots, onions, garlic, mushrooms, thyme|Brown beef in batches, Sauté vegetables, Add wine and herbs, Simmer slowly until beef is tender, Add mushrooms near the end|https://cafedelites.com/beef-bourguignon/
croissant|True|breakfast|Layers of buttery flake magic.|flour, butter, yeast, sugar, salt, milk|Make dough and rest, Fold in butter with several turns, Chill between turns, Cut into triangles and roll, Proof and bake until golden|https://sallysbakingaddiction.com/homemade-croissants/
cassoulet|False|main|A hearty bean and meat bake.|white beans, duck, sausage, garlic, onion, carrot, herbs|Soak beans overnight, Brown duck and sausage, Sauté vegetables, Combine all in a pot and bake slowly until tender and flavorful|https://www.seriouseats.com/traditional-french-cassoulet-recipe
crème brûlée|True|dessert|Creamy custard with a crackly top.|cream, egg yolks, sugar, vanilla|Whisk yolks and sugar, Heat cream with vanilla, Temper yolks with warm cream, Pour into ramekins and bake in water bath, Chill and brûlée the sugar top|https://www.biggerbolderbaking.com/creme-brulee/
soupe à l'oignon|True|soup|Soup that turns onions into stars.|onions, beef broth, bread, cheese, butter, thyme|Caramelize onions in butter, Add broth and thyme, Simmer, Toast bread slices, Pour soup into bowls, Top with bread and cheese, Broil until cheese melts|https://www.thekitchn.com/french-onion-soup-recipe-23624006
éclair|True|dessert|Pastry tubes filled with joy.|flour, butter, eggs, water, chocolate, cream|Make choux pastry and pipe into logs, Bake until puffed and golden, Fill with pastry cream, Top with chocolate glaze|https://www.kingarthurbaking.com/recipes/classic-eclairs-recipe
salade niçoise|False|salad|A sunny salad from the French Riviera.|lettuce, tuna, hard-boiled eggs, green beans, potatoes, tomatoes, olives, anchovies, vinaigrette|Boil potatoes and green beans, Arrange lettuce on plate, Add vegetables, tuna, eggs, and anchovies, Drizzle with vinaigrette|https://www.simplyrecipes.com/recipes/salade_nicoise/
clafoutis|True|dessert|Batter meets cherries in a warm hug.|cherries, eggs, flour, milk, sugar, butter, vanilla|Butter dish and add cherries, Mix batter with eggs, flour, milk, sugar, and vanilla, Pour over cherries and bake until golden|https://www.davidlebovitz.com/cherry-clafoutis-recipe/
gratin dauphinois|True|side|Creamy potatoes baked to golden bliss.|potatoes, cream, garlic, butter, cheese, salt, pepper|Slice potatoes thinly, Rub dish with garlic, Layer potatoes with cream and cheese, Bake until tender and golden|https://www.seriouseats.com/gratin-dauphinois-recipe
galette des rois|True|dessert|The royal puff pastry crown.|puff pastry, almond cream (frangipane), egg yolk|Roll pastry, Spread frangipane, Cover with second pastry layer, Seal edges, Brush with egg yolk, Bake until golden|https://www.kingarthurbaking.com/recipes/galette-des-rois-recipe
steak frites|False|main|Steak + fries = timeless combo.|steak, potatoes, salt, pepper, oil, butter, herbs|Season and sear steak to desired doneness, Slice potatoes and fry until crispy, Serve together with herbs|https://www.seriouseats.com/steak-frites-french-recipe
crêpes|True|breakfast|Thin pancakes with endless fillings.|flour, eggs, milk, butter, sugar, salt|Whisk batter with all ingredients, Heat pan and lightly butter, Pour batter, Cook until golden, Flip and fill as desired|https://www.bbcgoodfood.com/recipes/basic-crepes
mousse au chocolat|True|dessert|Rich, fluffy, and chocolatey perfection.|dark chocolate, eggs, sugar, cream, salt|Melt chocolate, Whisk yolks with sugar, Beat whites to stiff peaks, Fold everything gently, Chill until set|https://www.julieoliver.com/recipe/chocolate-mousse/
mille-feuille|True|dessert|Crisp layers with creamy dreams.|puff pastry, pastry cream, powdered sugar|Bake puff pastry until golden and crisp, Cut into layers, Prepare pastry cream and spread it on the layers, Stack layers and top with powdered sugar|https://www.kingarthurbaking.com/recipes/mille-feuille-recipe
