#Format: Question | Choice1,Choice2,Choice3,Choice4 | CorrectAnswer
What is the main ingredient in hummus? | Lentils,Chickpeas,Beans,Peas | Chickpeas
Which Lebanese dish is made with parsley, bulgur, and tomatoes? | Tabbouleh,Fattoush,Kibbeh,Shawarma | Tabbouleh
What is the primary spice used in Korean kimchi? | Turmeric,Cumin,Gochugaru,Paprika | Gochugaru
Which French dish is a slow-cooked beef stew with red wine? | Ratatouille,Boeuf bourguignon,Cassoulet,Coq au vin | Boeuf bourguignon
What is the main ingredient in Egyptian koshari? | Rice,Lentils,Pasta,All of the above | All of the above
Which Lebanese dessert is made with semolina and sugar syrup? | Baklava,Knefeh,Basbousa,Atayef | Knefeh
What is the Korean rice cake dish called? | Tteokbokki,Bibimbap,Kimchi,Japchae | Tteokbokki
Which Egyptian dish is made with fava beans and garlic? | Ful medames,Molokhia,Taameya,Mahshi | Ful medames
What is the French term for a caramelized apple tart? | Tarte Tatin,Crème brûlée,Clafoutis,Mille-feuille | Tarte Tatin
Which Lebanese dish features stuffed grape leaves? | Warak enab,Mujadara,Falafel,Sambousek | Warak enab
What is the Korean fermented cabbage dish called? | Japchae,Bibimbap,Kimchi,Tteokbokki | Kimchi
Which Egyptian dessert is a semolina cake soaked in syrup? | Basbousa,Konafa,Atayef,Roz bel laban | Basbousa
What is the French puff pastry dessert layered with cream called? | Éclair,Mille-feuille,Galette des rois,Crêpes | Mille-feuille
Which Lebanese dish is a spiced meat mixture grilled on skewers? | Kafta,Shawarma,Kibbeh,Mujadara | Kafta
What is the Korean cold noodle dish called? | Naengmyeon,Japchae,Bibimbap,Samgyeopsal | Naengmyeon
Which Egyptian dish is made with jute leaves and chicken broth? | Molokhia,Fatta,Bamia,Hamam mahshi | Molokhia
What is the French onion soup topped with bread and cheese called? | Soupe à l'oignon,Cassoulet,Ratatouille,Coq au vin | Soupe à l'oignon
Which Lebanese dish is a fried chickpea patty? | Falafel,Taameya,Hummus,Shawarma | Falafel
What is the Korean pancake made with green onions called? | Pajeon,Hotteok,Bindaetteok,Kimchijeon | Pajeon
Which Egyptian dish is a stuffed pigeon? | Hamam mahshi,Fatta,Mahshi,Bamia | Hamam mahshi
What is the French dessert made with cherries and batter? | Clafoutis,Crème brûlée,Tarte Tatin,Mousse au chocolat | Clafoutis
Which Lebanese dish is a lentil and bulgur mixture? | Mujadara,Tabbouleh,Kibbeh,Fattoush | Mujadara
What is the Korean beef barbecue dish called? | Bulgogi,Galbi,Samgyeopsal,Dakgalbi | Bulgogi
Which Egyptian dish is a layered bread, meat, and yogurt casserole? | Fatta,Koshari,Molokhia,Bamia | Fatta
What is the French custard dessert with a caramelized sugar top? | Crème brûlée,Clafoutis,Mousse au chocolat,Éclair | Crème brûlée
Which Lebanese dish is a fried cheese roll? | Sambousek,Rekakat,Manakish,Knefeh | Rekakat
What is the Korean spicy soft tofu stew called? | Soondubu jjigae,Kimchi jjigae,Dakgalbi,Galbi | Soondubu jjigae
Which Egyptian dish is a stuffed vegetable dish? | Mahshi,Ful medames,Taameya,Bamia | Mahshi
What is the French sandwich made with ham and cheese? | Croque-monsieur,Quiche Lorraine,Pain au chocolat,Croissant | Croque-monsieur
Which Lebanese dish is a crispy bread salad? | Fattoush,Tabbouleh,Mujadara,Kibbeh | Fattoush
What is the Korean sweet pancake filled with brown sugar and nuts called? | Hotteok,Bindaetteok,Pajeon,Kimchijeon | Hotteok
Which Egyptian dish is a sweet pastry filled with nuts? | Konafa,Basbousa,Atayef,Roz bel laban | Atayef
What is the French dish made with layers of potatoes and cream? | Gratin dauphinois,Ratatouille,Cassoulet,Coq au vin | Gratin dauphinois
Which Lebanese dish is a spiced meat pie? | Lahm bi ajeen,Manakish,Sambousek,Knefeh | Lahm bi ajeen
What is the Korean steamed egg dish called? | Gyeran jjim,Hobakjuk,Bingsu,Gamja jorim | Gyeran jjim
Which Egyptian dish is a lentil soup? | Ful medames,Lentil soup,Molokhia,Bamia | Lentil soup
What is the French dish made with zucchini, eggplant, and tomatoes? | Ratatouille,Boeuf bourguignon,Cassoulet,Coq au vin | Ratatouille
Which Lebanese dish is a yogurt-based drink? | Ayran,Laban,Knefeh,Falafel | Laban
What is the Korean shaved ice dessert called? | Bingsu,Hotteok,Hobakjuk,Gamja jorim | Bingsu
Which Egyptian dish is a fried fish? | Samak mashwy,Fatta,Bamia,Hamam mahshi | Samak mashwy
What is the French dish made with duck and white beans? | Cassoulet,Coq au vin,Boeuf bourguignon,Ratatouille | Cassoulet
Which Lebanese dish is a spiced meat and bulgur mixture? | Kibbeh,Kafta,Shawarma,Mujadara | Kibbeh
