name|is_vegetarian|type|short_description|ingredients|recipe_steps|recipe_link
margherita pizza|True|main|The pizza that started it all.|pizza dough, tomato sauce, mozzarella, basil, olive oil|Spread tomato sauce on dough, Add mozzarella and basil, Drizzle with olive oil, Bake until crust is golden|https://www.italianrecipebook.com/margherita-pizza/
spaghetti carbonara|False|main|Creamy, cheesy pasta without cream!|spaghetti, eggs, pecorino romano, guanciale, black pepper|Cook spaghetti, Fry guanciale, Mix eggs and cheese, Combine everything with pasta and pepper|https://www.seriouseats.com/spaghetti-alla-carbonara-recipe
lasagna|False|main|Layered heaven in a baking dish.|lasagna noodles, meat sauce, béchamel, mozzarella, parmesan|Layer noodles with sauces and cheese, Repeat layers, Bake until golden and bubbly|https://www.simplyrecipes.com/recipes/lasagna/
caprese salad|True|appetizer|Mozzarella, tomato, basil — that’s it!|tomatoes, mozzarella, basil, olive oil, salt|Slice tomatoes and mozzarella, Layer with basil, Drizzle olive oil and sprinkle salt|https://www.delish.com/cooking/recipe-ideas/a19665851/caprese-salad-recipe/
risotto alla milanese|True|main|Golden rice gets the royal saffron treatment.|arborio rice, saffron, onion, butter, parmesan, white wine|Sauté onion in butter, Add rice and wine, Gradually add broth with saffron, Stir until creamy, Add parmesan|https://www.lacucinaitaliana.com/recipe/first-course/saffron-risotto
gnocchi al pomodoro|True|main|Pillowy dumplings in red sauce bliss.|potatoes, flour, egg, tomato sauce, basil, parmesan|Make gnocchi dough and shape, Boil until they float, Toss in tomato sauce, Serve with basil and parmesan|https://www.recipesfromitaly.com/potato-gnocchi/
frittata|True|appetizer|Eggs and veggies, Italian-style omelette.|eggs, vegetables, cheese, salt, pepper|Whisk eggs, Mix with sautéed vegetables and cheese, Cook in pan until set|https://www.loveandlemons.com/frittata/
tiramisu|True|dessert|Coffee-soaked dessert dreams.|ladyfingers, espresso, mascarpone, eggs, sugar, cocoa powder|Dip ladyfingers in espresso, Layer with mascarpone mixture, Repeat layers, Chill and dust with cocoa|https://www.simplyrecipes.com/recipes/tiramisu/
bruschetta|True|appetizer|Toasty bread with juicy tomato joy.|bread, tomatoes, garlic, basil, olive oil, salt|Toast bread, Rub with garlic, Top with diced tomatoes and basil, Drizzle olive oil|https://www.loveandlemons.com/bruschetta/
osso buco|False|main|Fall-off-the-bone comfort food.|veal shanks, carrots, onion, celery, tomatoes, white wine, broth|Brown veal, Sauté vegetables, Add wine and broth, Simmer until meat is tender|https://www.simplyrecipes.com/recipes/osso_buco/
