name|is_vegetarian|type|short_description|ingredients|recipe_steps|recipe_link
bibimbap|False|main|A rice bowl rainbow with spice.|rice, beef, egg, spinach, carrot, zucchini, gochujang|Cook rice, Sauté beef with garlic and soy sauce, Blanch spinach and other vegetables, Fry egg sunny-side up, Arrange vegetables and beef over rice, Top with egg and gochujang|https://www.koreanbapsang.com/bibimbap/
kimchi|True|appetizer|The soul of Korean cuisine, fermented.|napa cabbage, radish, garlic, ginger, gochugaru, fish sauce|Salt napa cabbage and let it sit to wilt, Rinse and drain, Make paste with garlic, ginger, gochugaru, and fish sauce, Mix with chopped radish, Coat cabbage with the paste, Pack in jars and ferment for a few days|https://www.koreanbapsang.com/mak-kimchi-simple-kimchi/
japchae|True|main|Sweet potato noodles in a savory swirl.|glass noodles, spinach, carrot, onion, mushroom, soy sauce|Boil glass noodles and rinse with cold water, Sauté vegetables separately, Mix soy sauce and sugar, Stir-fry noodles with sauce, Add vegetables and combine well|https://www.koreanbapsang.com/japchae-korean-glass-noodles-stir/
bulgogi|False|main|Beef that’s sweet, juicy, and grilled.|beef, soy sauce, sesame oil, garlic, onion, sugar|Slice beef thinly, Marinate in soy sauce, sesame oil, sugar, garlic, and onion, Let sit for at least 30 minutes, Grill or pan-fry until cooked|https://www.koreanbapsang.com/bulgogi-korean-bbq-beef/
tteokbokki|True|appetizer|Chewy rice cakes in spicy red sauce.|rice cakes, gochujang, sugar, garlic, green onion|Soak rice cakes in warm water, Make sauce with gochujang, sugar, and garlic, Simmer rice cakes in sauce until soft and thick, Garnish with chopped green onion|https://www.koreanbapsang.com/tteokbokki-spicy-stir-fried-rice-cakes/
samgyeopsal|False|main|Grill-your-own pork belly party!|pork belly, garlic, sesame oil, salt, pepper|Slice pork belly, Grill on hot plate with garlic, Dip grilled meat in sesame oil with salt and pepper, Serve with lettuce and ssamjang|https://www.koreanbapsang.com/samgyupsal-gui-grilled-pork-belly-and/
haemul pajeon|False|appetizer|Savory pancake with seafood delight.|green onion, flour, egg, seafood, soy sauce|Mix flour, egg, and water into batter, Arrange green onions on pan, Pour batter and top with seafood, Fry until golden, Serve with soy dipping sauce|https://www.koreanbapsang.com/haemul-pajeon/
soondubu jjigae|False|main|Spicy tofu stew that hugs your soul.|soft tofu, seafood, gochujang, egg, green onion, garlic|Sauté garlic in pot, Add seafood and cook briefly, Add water and gochujang, Bring to boil and add soft tofu, Simmer and crack in an egg before serving, Garnish with green onion|https://www.koreanbapsang.com/kimchi-soondubu-jjigae-soft-tofu-stew-kimchi/
kimchi jjigae|False|main|Kimchi stew that warms your belly.|kimchi, pork belly, tofu, onion, garlic, gochugaru|Sauté pork belly and garlic, Add kimchi and onion, Pour in water and bring to boil, Add tofu and simmer until flavors meld|https://www.koreanbapsang.com/kimchi-jjigae-kimchi-stew/
mandu|False|appetizer|Juicy dumplings with flavor bombs.|ground pork, tofu, garlic, green onion, ginger, soy sauce, dumpling wrappers|Mix pork, tofu, garlic, green onion, ginger, and soy sauce, Place filling in wrappers and seal, Boil, steam, or pan-fry until cooked|https://www.koreanbapsang.com/mandu-korean-dumplings/
